Date,MCP
2/1/2016,2555.44
3/1/2016,2278.64
4/1/2016,2643.62
5/1/2016,2638.97
6/1/2016,2559.06
7/1/2016,2789.3
8/1/2016,2895.7
9/1/2016,2900
10/1/2016,2580.71
11/1/2016,2898.84
12/1/2016,2678.54
13/1/2016,2585.53
14/1/2016,2566.55
15/1/2016,2520.91
16/1/2016,2163.82
17/1/2016,2339.06
18/1/2016,2850.74
19/1/2016,2484.21
20/1/2016,2369.59
21/1/2016,2387.78
22/1/2016,2468.2
23/1/2016,2381.87
24/1/2016,2235.68
25/1/2016,2367.47
26/1/2016,1831.93
27/1/2016,2429.71
28/1/2016,2570.23
29/1/2016,2577.98
30/1/2016,2624.26
31/1/2016,2404.76
1/2/2016,2383.06
2/2/2016,2264.43
3/2/2016,2117.5
4/2/2016,2153.35
5/2/2016,2109.71
6/2/2016,2363.39
7/2/2016,2203.66
8/2/2016,2296.94
9/2/2016,2330.83
10/2/2016,2320.02
11/2/2016,2292.06
12/2/2016,2191.11
13/2/2016,2229.84
14/2/2016,2000.95
15/2/2016,2293.3
16/2/2016,2317.55
17/2/2016,2321.06
18/2/2016,2309.34
19/2/2016,2236.09
20/2/2016,2277.39
21/2/2016,2165.52
22/2/2016,2437.68
23/2/2016,2342.83
24/2/2016,2407.9
25/2/2016,2502.8
26/2/2016,2522.64
27/2/2016,2439.23
28/2/2016,2266.38
29/2/2016,2528.21
1/3/2016,2486.4
2/3/2016,2471.6
3/3/2016,2409.61
4/3/2016,2308.58
5/3/2016,2203.09
6/3/2016,2208.35
7/3/2016,2363.03
8/3/2016,2277.36
9/3/2016,2254.75
10/3/2016,2340.36
11/3/2016,2355.17
12/3/2016,2657.69
13/3/2016,2420.58
14/3/2016,2482.71
15/3/2016,2463.18
16/3/2016,3210.91
17/3/2016,2907.73
18/3/2016,2967.82
19/3/2016,3202.74
20/3/2016,2650.23
21/3/2016,2929.86
22/3/2016,3297.33
23/3/2016,2906.34
24/3/2016,2286.65
25/3/2016,2446.67
26/3/2016,2538.59
27/3/2016,2494.19
28/3/2016,2713.16
29/3/2016,2840.91
30/3/2016,2857.61
31/3/2016,2826.43
1/4/2016,2975.31
2/4/2016,2904.98
3/4/2016,2658.55
4/4/2016,2945.8
5/4/2016,3082.04
6/4/2016,3444.12
7/4/2016,3130.34
8/4/2016,2953.19
9/4/2016,2743.15
10/4/2016,2597.54
